filename,label
audio_1261.wav,1.0
audio_942.wav,1.5
audio_1110.wav,1.5
audio_1024.wav,1.5
audio_538.wav,2.0
audio_350.wav,2.5
audio_64.wav,2.0
audio_252.wav,2.0
audio_1304.wav,2.0
audio_1230.wav,2.5
audio_133.wav,2.0
audio_790.wav,2.5
audio_947.wav,2.0
audio_288.wav,2.5
audio_1111.wav,2.0
audio_771.wav,2.5
audio_1184.wav,2.5
audio_918.wav,2.5
audio_1030.wav,2.0
audio_1112.wav,2.0
audio_873.wav,2.0
audio_539.wav,2.0
audio_899.wav,2.0
audio_1277.wav,2.5
audio_649.wav,2.5
audio_701.wav,2.0
audio_763.wav,2.5
audio_952.wav,2.0
audio_167.wav,2.5
audio_708.wav,2.0
audio_1245.wav,2.0
audio_812.wav,2.0
audio_76.wav,2.5
audio_1296.wav,2.5
audio_239.wav,2.0
audio_668.wav,2.5
audio_17.wav,2.0
audio_289.wav,2.5
audio_45.wav,2.5
audio_657.wav,2.0
audio_876.wav,2.0
audio_1069.wav,2.0
audio_1318.wav,2.0
audio_832.wav,2.0
audio_917.wav,2.0
audio_802.wav,2.0
audio_275.wav,2.0
audio_940.wav,2.0
audio_1120.wav,2.0
audio_535.wav,2.5
audio_244.wav,2.5
audio_1134.wav,2.0
audio_724.wav,2.0
audio_965.wav,2.0
audio_1031.wav,2.5
audio_1326.wav,2.5
audio_1325.wav,2.5
audio_273.wav,2.5
audio_1298.wav,2.5
audio_868.wav,2.0
audio_964.wav,2.0
audio_85.wav,2.0
audio_919.wav,2.0
audio_303.wav,2.5
audio_345.wav,2.0
audio_930.wav,2.0
audio_817.wav,2.0
audio_1104.wav,2.5
audio_836.wav,2.0
audio_946.wav,2.0
audio_1312.wav,2.0
audio_324.wav,2.5
audio_913.wav,2.5
audio_399.wav,2.0
audio_766.wav,2.0
audio_748.wav,2.0
audio_1114.wav,2.0
audio_1251.wav,2.0
audio_59.wav,2.0
audio_889.wav,2.5
audio_130.wav,2.5
audio_297.wav,2.0
audio_744.wav,2.5
audio_779.wav,2.0
audio_1210.wav,2.0
audio_680.wav,2.0
audio_944.wav,2.0
audio_8.wav,2.0
audio_1057.wav,2.0
audio_722.wav,2.0
audio_1036.wav,2.5
audio_760.wav,2.0
audio_675.wav,2.0
audio_62.wav,2.5
audio_865.wav,2.5
audio_654.wav,2.0
audio_743.wav,2.5
audio_950.wav,2.0
audio_77.wav,2.5
audio_916.wav,2.0
audio_1028.wav,2.0
audio_727.wav,2.0
audio_146.wav,2.0
audio_642.wav,2.0
audio_1313.wav,2.0
audio_1208.wav,2.0
audio_640.wav,2.0
audio_778.wav,2.5
audio_1025.wav,2.0
audio_939.wav,2.5
audio_1216.wav,2.5
audio_934.wav,2.0
audio_904.wav,2.5
audio_1102.wav,2.5
audio_1150.wav,3.0
audio_765.wav,3.0
audio_1117.wav,3.0
audio_685.wav,3.0
